Date,High,Low,Open,Close,Volume,Adj Close
2017-07-07,6.400000095367432,6.400000095367432,6.400000095367432,6.400000095367432,100.0,6.288777828216553
2017-07-10,6.400000095367432,6.400000095367432,6.400000095367432,6.400000095367432,0.0,6.288777828216553
2017-07-11,6.400000095367432,6.400000095367432,6.400000095367432,6.400000095367432,0.0,6.288777828216553
2017-07-12,6.400000095367432,6.400000095367432,6.400000095367432,6.400000095367432,0.0,6.288777828216553
2017-07-13,6.400000095367432,6.400000095367432,6.400000095367432,6.400000095367432,0.0,6.288777828216553
2017-07-14,6.400000095367432,6.400000095367432,6.400000095367432,6.400000095367432,0.0,6.288777828216553
2017-07-17,6.400000095367432,6.400000095367432,6.400000095367432,6.400000095367432,100.0,6.288777828216553
2017-07-18,6.400000095367432,6.400000095367432,6.400000095367432,6.400000095367432,0.0,6.288777828216553
2017-07-19,6.400000095367432,6.400000095367432,6.400000095367432,6.400000095367432,0.0,6.288777828216553
2017-07-20,6.400000095367432,6.400000095367432,6.400000095367432,6.400000095367432,0.0,6.288777828216553
2017-07-21,6.400000095367432,6.400000095367432,6.400000095367432,6.400000095367432,0.0,6.288777828216553
2017-07-24,6.400000095367432,6.400000095367432,6.400000095367432,6.400000095367432,0.0,6.288777828216553
2017-07-25,6.400000095367432,6.400000095367432,6.400000095367432,6.400000095367432,0.0,6.288777828216553
2017-07-26,6.400000095367432,6.400000095367432,6.400000095367432,6.400000095367432,0.0,6.288777828216553
2017-07-27,6.400000095367432,6.400000095367432,6.400000095367432,6.400000095367432,0.0,6.288777828216553
2017-07-28,6.400000095367432,6.400000095367432,6.400000095367432,6.400000095367432,0.0,6.288777828216553
2017-07-31,6.400000095367432,6.400000095367432,6.400000095367432,6.400000095367432,0.0,6.288777828216553
2017-08-01,6.400000095367432,6.400000095367432,6.400000095367432,6.400000095367432,0.0,6.288777828216553
2017-08-02,6.400000095367432,6.400000095367432,6.400000095367432,6.400000095367432,0.0,6.288777828216553
2017-08-03,6.400000095367432,6.400000095367432,6.400000095367432,6.400000095367432,0.0,6.288777828216553
2017-08-04,6.599999904632568,6.599999904632568,6.599999904632568,6.599999904632568,200.0,6.485301971435547
2017-08-07,7.0,7.0,7.0,7.0,100.0,6.878350734710693
2017-08-08,7.300000190734863,7.300000190734863,7.300000190734863,7.300000190734863,100.0,7.173137664794922
2017-08-09,7.670000076293945,7.670000076293945,7.670000076293945,7.670000076293945,100.0,7.536707401275635
2017-08-10,8.050000190734863,8.050000190734863,8.050000190734863,8.050000190734863,100.0,7.910103797912598
2017-08-11,8.359999656677246,8.359999656677246,8.359999656677246,8.359999656677246,100.0,8.214715957641602
2017-08-14,8.899999618530273,8.899999618530273,8.899999618530273,8.899999618530273,100.0,8.745331764221191
2017-08-15,8.899999618530273,8.899999618530273,8.899999618530273,8.899999618530273,0.0,8.745331764221191
2017-08-16,8.899999618530273,8.899999618530273,8.899999618530273,8.899999618530273,0.0,8.745331764221191
2017-08-17,8.899999618530273,8.899999618530273,8.899999618530273,8.899999618530273,0.0,8.745331764221191
2017-08-18,9.399999618530273,9.399999618530273,9.399999618530273,9.399999618530273,100.0,9.236641883850098
2017-08-21,9.949999809265137,9.949999809265137,9.949999809265137,9.949999809265137,100.0,9.777084350585938
2017-08-22,9.949999809265137,9.949999809265137,9.949999809265137,9.949999809265137,0.0,9.777084350585938
2017-08-23,9.949999809265137,9.949999809265137,9.949999809265137,9.949999809265137,0.0,9.777084350585938
2017-08-24,10.550000190734863,10.550000190734863,10.550000190734863,10.550000190734863,100.0,10.366657257080078
2017-08-25,10.550000190734863,10.550000190734863,10.550000190734863,10.550000190734863,0.0,10.366657257080078
2017-08-28,11.0,11.0,11.0,11.0,100.0,10.808836936950684
